-1789131.9081192918	  inf
-1355080.3107716246	2.42605e-01
-1350773.0752642867	3.17858e-03
-1350211.9914784415	4.15380e-04
-1351260.7128203444	-7.76709e-04
-1350033.0233975558	9.08551e-04
-1351152.9464380422	-8.29552e-04
-1351787.4916000376	-4.69632e-04
-1352303.9268876207	-3.82039e-04
-1352543.7539123301	-1.77347e-04
-1352598.0339868227	-4.01318e-05
-1352460.2294642953	1.01881e-04
-1352138.9089696817	2.37582e-04
-1351323.4635541542	6.03078e-04
-1350427.3995385147	6.63101e-04
-1349391.6225633097	7.66999e-04
-1348362.6167035587	7.62570e-04
-1347243.5109332665	8.29974e-04
-1346092.3859881659	8.54430e-04
-1344814.3802360350	9.49419e-04
-1343508.1319713830	9.71322e-04
-1342140.3070117424	1.01810e-03
-1340791.4257494011	1.00502e-03
-1339531.7699464634	9.39487e-04
-1338308.8069926591	9.12978e-04
-1336983.0816080598	9.90598e-04
-1335729.7577475659	9.37427e-04
-1334519.1731006491	9.06310e-04
-1333256.3228604360	9.46296e-04
-1332100.4392909955	8.66963e-04
-1331013.9076297581	8.15653e-04
-1329938.6894864230	8.07819e-04
-1328931.7564367701	7.57127e-04
-1327970.6009403914	7.23254e-04
-1327033.9176383256	7.05349e-04
-1326217.0340594074	6.15571e-04
-1325455.7898436263	5.73997e-04
-1324775.2123971619	5.13467e-04
-1324157.2716001577	4.66450e-04
-1323568.2343934625	4.44839e-04
-1323048.2687629410	3.92851e-04
-1322597.8296125014	3.40456e-04
-1322176.8456002842	3.18301e-04
-1321795.1951035813	2.88653e-04
-1321399.0325988824	2.99715e-04
-1321064.3517565371	2.53278e-04
-1320814.9488389166	1.88789e-04
-1320610.9498118195	1.54449e-04
-1320414.4376394947	1.48804e-04
-1320259.9080956124	1.17031e-04
-1320082.2641792241	1.34552e-04
-1319896.8043099998	1.40491e-04
-1319754.9672312045	1.07461e-04
-1319619.8865068844	1.02353e-04
-1319486.5227481264	1.01062e-04
-1319371.5268370591	8.71520e-05
